Decision Tree Accuracy 0.2592190889370933, with ngrams (1, 1), analyzer word, max_depth None, min samples leaf 3
Decision Tree Accuracy 0.12364425162689804, with ngrams (1, 1), analyzer char, max_depth 50, min samples leaf 3
Decision Tree Accuracy 0.12364425162689804, with ngrams (1, 1), analyzer char, max_depth 50, min samples leaf 5
Decision Tree Accuracy 0.15292841648590022, with ngrams (1, 1), analyzer char, max_depth 50, min samples leaf 10
Decision Tree Accuracy 0.14316702819956617, with ngrams (1, 1), analyzer char, max_depth 50, min samples leaf 20
Decision Tree Accuracy 0.23969631236442515, with ngrams (1, 2), analyzer word, max_depth None, min samples leaf 3
Decision Tree Accuracy 0.23752711496746204, with ngrams (1, 2), analyzer word, max_depth None, min samples leaf 5
Decision Tree Accuracy 0.22234273318872017, with ngrams (1, 2), analyzer word, max_depth None, min samples leaf 10
Decision Tree Accuracy 0.2592190889370933, with ngrams (1, 2), analyzer word, max_depth None, min samples leaf 20
Decision Tree Accuracy 0.279826464208243, with ngrams (1, 2), analyzer word, max_depth 5, min samples leaf 3
Decision Tree Accuracy 0.28524945770065074, with ngrams (1, 2), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.2885032537960954, with ngrams (1, 2), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.289587852494577, with ngrams (1, 2), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.25379609544468545, with ngrams (1, 2), analyzer word, max_depth 10, min samples leaf 3
Decision Tree Accuracy 0.2592190889370933, with ngrams (1, 2), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.2646420824295011, with ngrams (1, 2), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.26247288503253796, with ngrams (1, 2), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.2440347071583514, with ngrams (1, 2), analyzer word, max_depth 30, min samples leaf 3
Decision Tree Accuracy 0.2386117136659436, with ngrams (1, 2), analyzer word, max_depth 30, min samples leaf 5
Decision Tree Accuracy 0.22234273318872017, with ngrams (1, 2), analyzer word, max_depth 30, min samples leaf 10
Decision Tree Accuracy 0.2592190889370933, with ngrams (1, 2), analyzer word, max_depth 30, min samples leaf 20
Decision Tree Accuracy 0.23969631236442515, with ngrams (1, 2), analyzer word, max_depth 50, min samples leaf 3
Decision Tree Accuracy 0.23752711496746204, with ngrams (1, 2), analyzer word, max_depth 50, min samples leaf 5
Decision Tree Accuracy 0.22234273318872017, with ngrams (1, 2), analyzer word, max_depth 50, min samples leaf 10
Decision Tree Accuracy 0.2592190889370933, with ngrams (1, 2), analyzer word, max_depth 50, min samples leaf 20
Decision Tree Accuracy 0.18872017353579176, with ngrams (1, 2), analyzer char, max_depth None, min samples leaf 3
Decision Tree Accuracy 0.20065075921908893, with ngrams (1, 2), analyzer char, max_depth None, min samples leaf 5
Decision Tree Accuracy 0.19088937093275488, with ngrams (1, 2), analyzer char, max_depth None, min samples leaf 10
Decision Tree Accuracy 0.21908893709327548, with ngrams (1, 2), analyzer char, max_depth None, min samples leaf 20
Decision Tree Accuracy 0.24945770065075923, with ngrams (1, 2), analyzer char, max_depth 5, min samples leaf 3
Decision Tree Accuracy 0.24945770065075923, with ngrams (1, 2), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.24945770065075923, with ngrams (1, 2), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.25054229934924077, with ngrams (1, 2), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.21149674620390455, with ngrams (1, 2), analyzer char, max_depth 10, min samples leaf 3
Decision Tree Accuracy 0.2158351409978308, with ngrams (1, 2), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.210412147505423, with ngrams (1, 2), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.20281995661605207, with ngrams (1, 2), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.18872017353579176, with ngrams (1, 2), analyzer char, max_depth 30, min samples leaf 3
Decision Tree Accuracy 0.20065075921908893, with ngrams (1, 2), analyzer char, max_depth 30, min samples leaf 5
Decision Tree Accuracy 0.19088937093275488, with ngrams (1, 2), analyzer char, max_depth 30, min samples leaf 10
Decision Tree Accuracy 0.21908893709327548, with ngrams (1, 2), analyzer char, max_depth 30, min samples leaf 20
Decision Tree Accuracy 0.18872017353579176, with ngrams (1, 2), analyzer char, max_depth 50, min samples leaf 3
Decision Tree Accuracy 0.20065075921908893, with ngrams (1, 2), analyzer char, max_depth 50, min samples leaf 5
Decision Tree Accuracy 0.19088937093275488, with ngrams (1, 2), analyzer char, max_depth 50, min samples leaf 10
Decision Tree Accuracy 0.21908893709327548, with ngrams (1, 2), analyzer char, max_depth 50, min samples leaf 20
Decision Tree Accuracy 0.23969631236442515, with ngrams (1, 3), analyzer word, max_depth None, min samples leaf 3
Decision Tree Accuracy 0.25162689804772237, with ngrams (1, 3), analyzer word, max_depth None, min samples leaf 5
Decision Tree Accuracy 0.23427331887201736, with ngrams (1, 3), analyzer word, max_depth None, min samples leaf 10
Decision Tree Accuracy 0.25054229934924077, with ngrams (1, 3), analyzer word, max_depth None, min samples leaf 20
Decision Tree Accuracy 0.2885032537960954, with ngrams (1, 3), analyzer word, max_depth 5, min samples leaf 3
Decision Tree Accuracy 0.2885032537960954, with ngrams (1, 3), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.2885032537960954, with ngrams (1, 3), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.289587852494577, with ngrams (1, 3), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.2527114967462039, with ngrams (1, 3), analyzer word, max_depth 10, min samples leaf 3
Decision Tree Accuracy 0.25379609544468545, with ngrams (1, 3), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.2559652928416486, with ngrams (1, 3), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.26572668112798264, with ngrams (1, 3), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.24078091106290672, with ngrams (1, 3), analyzer word, max_depth 30, min samples leaf 3
Decision Tree Accuracy 0.24945770065075923, with ngrams (1, 3), analyzer word, max_depth 30, min samples leaf 5
Decision Tree Accuracy 0.23427331887201736, with ngrams (1, 3), analyzer word, max_depth 30, min samples leaf 10
Decision Tree Accuracy 0.25054229934924077, with ngrams (1, 3), analyzer word, max_depth 30, min samples leaf 20
Decision Tree Accuracy 0.23969631236442515, with ngrams (1, 3), analyzer word, max_depth 50, min samples leaf 3
Decision Tree Accuracy 0.25162689804772237, with ngrams (1, 3), analyzer word, max_depth 50, min samples leaf 5
Decision Tree Accuracy 0.23427331887201736, with ngrams (1, 3), analyzer word, max_depth 50, min samples leaf 10
Decision Tree Accuracy 0.25054229934924077, with ngrams (1, 3), analyzer word, max_depth 50, min samples leaf 20
Decision Tree Accuracy 0.21258134490238612, with ngrams (1, 3), analyzer char, max_depth None, min samples leaf 3
Decision Tree Accuracy 0.2158351409978308, with ngrams (1, 3), analyzer char, max_depth None, min samples leaf 5
Decision Tree Accuracy 0.2299349240780911, with ngrams (1, 3), analyzer char, max_depth None, min samples leaf 10
Decision Tree Accuracy 0.24295010845986983, with ngrams (1, 3), analyzer char, max_depth None, min samples leaf 20
Decision Tree Accuracy 0.272234273318872, with ngrams (1, 3), analyzer char, max_depth 5, min samples leaf 3
Decision Tree Accuracy 0.27114967462039047, with ngrams (1, 3), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.272234273318872, with ngrams (1, 3), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.2765726681127983, with ngrams (1, 3), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.27765726681127983, with ngrams (1, 3), analyzer char, max_depth 10, min samples leaf 3
Decision Tree Accuracy 0.2646420824295011, with ngrams (1, 3), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.27440347071583515, with ngrams (1, 3), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.28308026030368766, with ngrams (1, 3), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.2039045553145336, with ngrams (1, 3), analyzer char, max_depth 30, min samples leaf 3
Decision Tree Accuracy 0.2158351409978308, with ngrams (1, 3), analyzer char, max_depth 30, min samples leaf 5
Decision Tree Accuracy 0.2299349240780911, with ngrams (1, 3), analyzer char, max_depth 30, min samples leaf 10
Decision Tree Accuracy 0.24295010845986983, with ngrams (1, 3), analyzer char, max_depth 30, min samples leaf 20
Decision Tree Accuracy 0.21258134490238612, with ngrams (1, 3), analyzer char, max_depth 50, min samples leaf 3
Decision Tree Accuracy 0.2158351409978308, with ngrams (1, 3), analyzer char, max_depth 50, min samples leaf 5
Decision Tree Accuracy 0.2299349240780911, with ngrams (1, 3), analyzer char, max_depth 50, min samples leaf 10
Decision Tree Accuracy 0.24295010845986983, with ngrams (1, 3), analyzer char, max_depth 50, min samples leaf 20
Decision Tree Accuracy 0.22234273318872017, with ngrams (1, 4), analyzer word, max_depth None, min samples leaf 3
Decision Tree Accuracy 0.22234273318872017, with ngrams (1, 4), analyzer word, max_depth None, min samples leaf 5
Decision Tree Accuracy 0.2440347071583514, with ngrams (1, 4), analyzer word, max_depth None, min samples leaf 10
Decision Tree Accuracy 0.27006507592190887, with ngrams (1, 4), analyzer word, max_depth None, min samples leaf 20
Decision Tree Accuracy 0.2885032537960954, with ngrams (1, 4), analyzer word, max_depth 5, min samples leaf 3
Decision Tree Accuracy 0.2885032537960954, with ngrams (1, 4), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.2885032537960954, with ngrams (1, 4), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.289587852494577, with ngrams (1, 4), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.2527114967462039, with ngrams (1, 4), analyzer word, max_depth 10, min samples leaf 3
Decision Tree Accuracy 0.25379609544468545, with ngrams (1, 4), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.2559652928416486, with ngrams (1, 4), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.26572668112798264, with ngrams (1, 4), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.22017353579175705, with ngrams (1, 4), analyzer word, max_depth 30, min samples leaf 3
Decision Tree Accuracy 0.22125813449023862, with ngrams (1, 4), analyzer word, max_depth 30, min samples leaf 5
Decision Tree Accuracy 0.2440347071583514, with ngrams (1, 4), analyzer word, max_depth 30, min samples leaf 10
Decision Tree Accuracy 0.27006507592190887, with ngrams (1, 4), analyzer word, max_depth 30, min samples leaf 20
Decision Tree Accuracy 0.22234273318872017, with ngrams (1, 4), analyzer word, max_depth 50, min samples leaf 3
Decision Tree Accuracy 0.22234273318872017, with ngrams (1, 4), analyzer word, max_depth 50, min samples leaf 5
Decision Tree Accuracy 0.2440347071583514, with ngrams (1, 4), analyzer word, max_depth 50, min samples leaf 10
Decision Tree Accuracy 0.27006507592190887, with ngrams (1, 4), analyzer word, max_depth 50, min samples leaf 20
Decision Tree Accuracy 0.2299349240780911, with ngrams (1, 4), analyzer char, max_depth None, min samples leaf 3
Decision Tree Accuracy 0.2603036876355748, with ngrams (1, 4), analyzer char, max_depth None, min samples leaf 5
Decision Tree Accuracy 0.23535791757049893, with ngrams (1, 4), analyzer char, max_depth None, min samples leaf 10
Decision Tree Accuracy 0.2017353579175705, with ngrams (1, 4), analyzer char, max_depth None, min samples leaf 20
Decision Tree Accuracy 0.2950108459869848, with ngrams (1, 4), analyzer char, max_depth 5, min samples leaf 3
Decision Tree Accuracy 0.29718004338394793, with ngrams (1, 4), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.2993492407809111, with ngrams (1, 4), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.29392624728850325, with ngrams (1, 4), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.23969631236442515, with ngrams (1, 4), analyzer char, max_depth 10, min samples leaf 3
Decision Tree Accuracy 0.2527114967462039, with ngrams (1, 4), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.2559652928416486, with ngrams (1, 4), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.2559652928416486, with ngrams (1, 4), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.23535791757049893, with ngrams (1, 4), analyzer char, max_depth 30, min samples leaf 3
Decision Tree Accuracy 0.26247288503253796, with ngrams (1, 4), analyzer char, max_depth 30, min samples leaf 5
Decision Tree Accuracy 0.23535791757049893, with ngrams (1, 4), analyzer char, max_depth 30, min samples leaf 10
Decision Tree Accuracy 0.2017353579175705, with ngrams (1, 4), analyzer char, max_depth 30, min samples leaf 20
Decision Tree Accuracy 0.2299349240780911, with ngrams (1, 4), analyzer char, max_depth 50, min samples leaf 3
Decision Tree Accuracy 0.2603036876355748, with ngrams (1, 4), analyzer char, max_depth 50, min samples leaf 5
Decision Tree Accuracy 0.23535791757049893, with ngrams (1, 4), analyzer char, max_depth 50, min samples leaf 10
Decision Tree Accuracy 0.2017353579175705, with ngrams (1, 4), analyzer char, max_depth 50, min samples leaf 20
Decision Tree Accuracy 0.227765726681128, with ngrams (1, 5), analyzer word, max_depth None, min samples leaf 3
Decision Tree Accuracy 0.22125813449023862, with ngrams (1, 5), analyzer word, max_depth None, min samples leaf 5
Decision Tree Accuracy 0.2472885032537961, with ngrams (1, 5), analyzer word, max_depth None, min samples leaf 10
Decision Tree Accuracy 0.2646420824295011, with ngrams (1, 5), analyzer word, max_depth None, min samples leaf 20
Decision Tree Accuracy 0.28199566160520606, with ngrams (1, 5), analyzer word, max_depth 5, min samples leaf 3
Decision Tree Accuracy 0.2885032537960954, with ngrams (1, 5), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.289587852494577, with ngrams (1, 5), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.289587852494577, with ngrams (1, 5), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.25162689804772237, with ngrams (1, 5), analyzer word, max_depth 10, min samples leaf 3
Decision Tree Accuracy 0.2527114967462039, with ngrams (1, 5), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.2559652928416486, with ngrams (1, 5), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.2646420824295011, with ngrams (1, 5), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.23427331887201736, with ngrams (1, 5), analyzer word, max_depth 30, min samples leaf 3
Decision Tree Accuracy 0.21475054229934923, with ngrams (1, 5), analyzer word, max_depth 30, min samples leaf 5
Decision Tree Accuracy 0.24620390455531455, with ngrams (1, 5), analyzer word, max_depth 30, min samples leaf 10
Decision Tree Accuracy 0.2646420824295011, with ngrams (1, 5), analyzer word, max_depth 30, min samples leaf 20
Decision Tree Accuracy 0.227765726681128, with ngrams (1, 5), analyzer word, max_depth 50, min samples leaf 3
Decision Tree Accuracy 0.22125813449023862, with ngrams (1, 5), analyzer word, max_depth 50, min samples leaf 5
Decision Tree Accuracy 0.2472885032537961, with ngrams (1, 5), analyzer word, max_depth 50, min samples leaf 10
Decision Tree Accuracy 0.2646420824295011, with ngrams (1, 5), analyzer word, max_depth 50, min samples leaf 20
Decision Tree Accuracy 0.25162689804772237, with ngrams (1, 5), analyzer char, max_depth None, min samples leaf 3
Decision Tree Accuracy 0.26572668112798264, with ngrams (1, 5), analyzer char, max_depth None, min samples leaf 5
Decision Tree Accuracy 0.25704989154013014, with ngrams (1, 5), analyzer char, max_depth None, min samples leaf 10
Decision Tree Accuracy 0.23752711496746204, with ngrams (1, 5), analyzer char, max_depth None, min samples leaf 20
Decision Tree Accuracy 0.29718004338394793, with ngrams (1, 5), analyzer char, max_depth 5, min samples leaf 3
Decision Tree Accuracy 0.2993492407809111, with ngrams (1, 5), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.3004338394793926, with ngrams (1, 5), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.30151843817787416, with ngrams (1, 5), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.26898047722342733, with ngrams (1, 5), analyzer char, max_depth 10, min samples leaf 3
Decision Tree Accuracy 0.2787418655097614, with ngrams (1, 5), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.2754880694143167, with ngrams (1, 5), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.2841648590021692, with ngrams (1, 5), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.2472885032537961, with ngrams (1, 5), analyzer char, max_depth 30, min samples leaf 3
Decision Tree Accuracy 0.26572668112798264, with ngrams (1, 5), analyzer char, max_depth 30, min samples leaf 5
Decision Tree Accuracy 0.25704989154013014, with ngrams (1, 5), analyzer char, max_depth 30, min samples leaf 10
Decision Tree Accuracy 0.23752711496746204, with ngrams (1, 5), analyzer char, max_depth 30, min samples leaf 20
Decision Tree Accuracy 0.25162689804772237, with ngrams (1, 5), analyzer char, max_depth 50, min samples leaf 3
Decision Tree Accuracy 0.26572668112798264, with ngrams (1, 5), analyzer char, max_depth 50, min samples leaf 5
Decision Tree Accuracy 0.25704989154013014, with ngrams (1, 5), analyzer char, max_depth 50, min samples leaf 10
Decision Tree Accuracy 0.23752711496746204, with ngrams (1, 5), analyzer char, max_depth 50, min samples leaf 20
Decision Tree Accuracy 0.2245119305856833, with ngrams (1, 6), analyzer word, max_depth None, min samples leaf 3
Decision Tree Accuracy 0.23427331887201736, with ngrams (1, 6), analyzer word, max_depth None, min samples leaf 5
Decision Tree Accuracy 0.24620390455531455, with ngrams (1, 6), analyzer word, max_depth None, min samples leaf 10
Decision Tree Accuracy 0.26572668112798264, with ngrams (1, 6), analyzer word, max_depth None, min samples leaf 20
Decision Tree Accuracy 0.23752711496746204, with ngrams (1, 6), analyzer word, max_depth 5, min samples leaf 3
Decision Tree Accuracy 0.24078091106290672, with ngrams (1, 6), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.2418655097613883, with ngrams (1, 6), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.2418655097613883, with ngrams (1, 6), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.25054229934924077, with ngrams (1, 6), analyzer word, max_depth 10, min samples leaf 3
Decision Tree Accuracy 0.25162689804772237, with ngrams (1, 6), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.2559652928416486, with ngrams (1, 6), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.2635574837310195, with ngrams (1, 6), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.227765726681128, with ngrams (1, 6), analyzer word, max_depth 30, min samples leaf 3
Decision Tree Accuracy 0.23101952277657267, with ngrams (1, 6), analyzer word, max_depth 30, min samples leaf 5
Decision Tree Accuracy 0.24511930585683298, with ngrams (1, 6), analyzer word, max_depth 30, min samples leaf 10
Decision Tree Accuracy 0.26572668112798264, with ngrams (1, 6), analyzer word, max_depth 30, min samples leaf 20
Decision Tree Accuracy 0.22668112798264642, with ngrams (1, 6), analyzer word, max_depth 50, min samples leaf 3
Decision Tree Accuracy 0.23427331887201736, with ngrams (1, 6), analyzer word, max_depth 50, min samples leaf 5
Decision Tree Accuracy 0.24620390455531455, with ngrams (1, 6), analyzer word, max_depth 50, min samples leaf 10
Decision Tree Accuracy 0.26572668112798264, with ngrams (1, 6), analyzer word, max_depth 50, min samples leaf 20
Decision Tree Accuracy 0.2472885032537961, with ngrams (1, 6), analyzer char, max_depth None, min samples leaf 3
Decision Tree Accuracy 0.24837310195227766, with ngrams (1, 6), analyzer char, max_depth None, min samples leaf 5
Decision Tree Accuracy 0.25488069414316705, with ngrams (1, 6), analyzer char, max_depth None, min samples leaf 10
Decision Tree Accuracy 0.26898047722342733, with ngrams (1, 6), analyzer char, max_depth None, min samples leaf 20
Decision Tree Accuracy 0.2960954446854664, with ngrams (1, 6), analyzer char, max_depth 5, min samples leaf 3
Decision Tree Accuracy 0.2993492407809111, with ngrams (1, 6), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.2960954446854664, with ngrams (1, 6), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.2950108459869848, with ngrams (1, 6), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.25704989154013014, with ngrams (1, 6), analyzer char, max_depth 10, min samples leaf 3
Decision Tree Accuracy 0.2635574837310195, with ngrams (1, 6), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.2613882863340564, with ngrams (1, 6), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.2678958785249458, with ngrams (1, 6), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.2440347071583514, with ngrams (1, 6), analyzer char, max_depth 30, min samples leaf 3
Decision Tree Accuracy 0.2472885032537961, with ngrams (1, 6), analyzer char, max_depth 30, min samples leaf 5
Decision Tree Accuracy 0.25488069414316705, with ngrams (1, 6), analyzer char, max_depth 30, min samples leaf 10
Decision Tree Accuracy 0.26898047722342733, with ngrams (1, 6), analyzer char, max_depth 30, min samples leaf 20
Decision Tree Accuracy 0.2472885032537961, with ngrams (1, 6), analyzer char, max_depth 50, min samples leaf 3
Decision Tree Accuracy 0.24837310195227766, with ngrams (1, 6), analyzer char, max_depth 50, min samples leaf 5
Decision Tree Accuracy 0.25488069414316705, with ngrams (1, 6), analyzer char, max_depth 50, min samples leaf 10
Decision Tree Accuracy 0.26898047722342733, with ngrams (1, 6), analyzer char, max_depth 50, min samples leaf 20
Decision Tree Accuracy 0.21258134490238612, with ngrams (1, 7), analyzer word, max_depth None, min samples leaf 3
Decision Tree Accuracy 0.24295010845986983, with ngrams (1, 7), analyzer word, max_depth None, min samples leaf 5
Decision Tree Accuracy 0.2386117136659436, with ngrams (1, 7), analyzer word, max_depth None, min samples leaf 10
Decision Tree Accuracy 0.2386117136659436, with ngrams (1, 7), analyzer word, max_depth None, min samples leaf 20
Decision Tree Accuracy 0.23969631236442515, with ngrams (1, 7), analyzer word, max_depth 5, min samples leaf 3
Decision Tree Accuracy 0.2418655097613883, with ngrams (1, 7), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.2418655097613883, with ngrams (1, 7), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.2418655097613883, with ngrams (1, 7), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.2440347071583514, with ngrams (1, 7), analyzer word, max_depth 10, min samples leaf 3
Decision Tree Accuracy 0.25379609544468545, with ngrams (1, 7), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.2559652928416486, with ngrams (1, 7), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.25488069414316705, with ngrams (1, 7), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.22668112798264642, with ngrams (1, 7), analyzer word, max_depth 30, min samples leaf 3
Decision Tree Accuracy 0.24078091106290672, with ngrams (1, 7), analyzer word, max_depth 30, min samples leaf 5
Decision Tree Accuracy 0.23752711496746204, with ngrams (1, 7), analyzer word, max_depth 30, min samples leaf 10
Decision Tree Accuracy 0.2386117136659436, with ngrams (1, 7), analyzer word, max_depth 30, min samples leaf 20
Decision Tree Accuracy 0.21258134490238612, with ngrams (1, 7), analyzer word, max_depth 50, min samples leaf 3
Decision Tree Accuracy 0.24295010845986983, with ngrams (1, 7), analyzer word, max_depth 50, min samples leaf 5
Decision Tree Accuracy 0.2386117136659436, with ngrams (1, 7), analyzer word, max_depth 50, min samples leaf 10
