Decision Tree Accuracy 0.2754098360655738, with ngrams (1, 1), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.2983606557377049, with ngrams (1, 6), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.3704918032786885, with ngrams (1, 6), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.3737704918032787, with ngrams (1, 6), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.3836065573770492, with ngrams (1, 6), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.2786885245901639, with ngrams (1, 7), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.2819672131147541, with ngrams (1, 7), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.28524590163934427, with ngrams (1, 7), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.2983606557377049, with ngrams (1, 7), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.3114754098360656, with ngrams (1, 7), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.3540983606557377, with ngrams (1, 7), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.3016393442622951, with ngrams (1, 7), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.2983606557377049, with ngrams (1, 7), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.2983606557377049, with ngrams (1, 7), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.3540983606557377, with ngrams (1, 7), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.3540983606557377, with ngrams (1, 7), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.38688524590163936, with ngrams (1, 7), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.2786885245901639, with ngrams (1, 8), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.2819672131147541, with ngrams (1, 8), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.28524590163934427, with ngrams (1, 8), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.2983606557377049, with ngrams (1, 8), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.3016393442622951, with ngrams (1, 8), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.3540983606557377, with ngrams (1, 8), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.29508196721311475, with ngrams (1, 8), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.2983606557377049, with ngrams (1, 8), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.2983606557377049, with ngrams (1, 8), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.3836065573770492, with ngrams (1, 8), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.3704918032786885, with ngrams (1, 8), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.3901639344262295, with ngrams (1, 8), analyzer char, max_depth 10, min samples leaf 20
