Decision Tree Accuracy 0.5570621468926553, with ngrams (1, 1), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.45084745762711864, with ngrams (1, 2), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.4632768361581921, with ngrams (1, 2), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.46440677966101696, with ngrams (1, 2), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.4463276836158192, with ngrams (1, 2), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.45875706214689266, with ngrams (1, 2), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.5932203389830508, with ngrams (1, 3), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.576271186440678, with ngrams (1, 3), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.5966101694915255, with ngrams (1, 3), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.5627118644067797, with ngrams (1, 3), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.5514124293785311, with ngrams (1, 3), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.5649717514124294, with ngrams (1, 3), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.5649717514124294, with ngrams (1, 3), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.5672316384180791, with ngrams (1, 3), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.5627118644067797, with ngrams (1, 3), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.5378531073446328, with ngrams (1, 3), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.5322033898305085, with ngrams (1, 3), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.5627118644067797, with ngrams (1, 3), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.5954802259887005, with ngrams (1, 6), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.5728813559322034, with ngrams (1, 6), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.6169491525423729, with ngrams (1, 6), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.559322033898305, with ngrams (1, 6), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.5435028248587571, with ngrams (1, 6), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.576271186440678, with ngrams (1, 6), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.5683615819209039, with ngrams (1, 6), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.5570621468926553, with ngrams (1, 6), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.5502824858757062, with ngrams (1, 6), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.5864406779661017, with ngrams (1, 6), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.5615819209039548, with ngrams (1, 6), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.5661016949152542, with ngrams (1, 6), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.5887005649717514, with ngrams (1, 7), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.5819209039548022, with ngrams (1, 7), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.5638418079096045, with ngrams (1, 7), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.5672316384180791, with ngrams (1, 7), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.56045197740113, with ngrams (1, 7), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.5412429378531074, with ngrams (1, 7), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.5468926553672316, with ngrams (1, 7), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.5638418079096045, with ngrams (1, 7), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.5672316384180791, with ngrams (1, 7), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.5401129943502825, with ngrams (1, 7), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.5514124293785311, with ngrams (1, 7), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.5694915254237288, with ngrams (1, 7), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.5932203389830508, with ngrams (1, 8), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.5694915254237288, with ngrams (1, 8), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.6033898305084746, with ngrams (1, 8), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.5570621468926553, with ngrams (1, 8), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.5231638418079096, with ngrams (1, 8), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.5638418079096045, with ngrams (1, 8), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.48361581920903957, with ngrams (1, 8), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.47909604519774013, with ngrams (1, 8), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.5457627118644067, with ngrams (1, 8), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.47796610169491527, with ngrams (1, 8), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.4632768361581921, with ngrams (1, 8), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.535593220338983, with ngrams (1, 8), analyzer char, max_depth 10, min samples leaf 20
