Decision Tree Accuracy 0.34812286689419797, with ngrams (1, 1), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.3378839590443686, with ngrams (1, 2), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.3412969283276451, with ngrams (1, 2), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.3447098976109215, with ngrams (1, 2), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.3242320819112628, with ngrams (1, 2), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.3412969283276451, with ngrams (1, 3), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.3515358361774744, with ngrams (1, 3), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.3515358361774744, with ngrams (1, 3), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.378839590443686, with ngrams (1, 3), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.3890784982935154, with ngrams (1, 3), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.44368600682593856, with ngrams (1, 3), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.3583617747440273, with ngrams (1, 3), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.36177474402730375, with ngrams (1, 3), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.3856655290102389, with ngrams (1, 3), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.4300341296928328, with ngrams (1, 3), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.42662116040955633, with ngrams (1, 3), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.4539249146757679, with ngrams (1, 3), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.3378839590443686, with ngrams (1, 6), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.3515358361774744, with ngrams (1, 6), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.3515358361774744, with ngrams (1, 6), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.42662116040955633, with ngrams (1, 6), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.43686006825938567, with ngrams (1, 6), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.44368600682593856, with ngrams (1, 6), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.4232081911262799, with ngrams (1, 6), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.3890784982935154, with ngrams (1, 6), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.3993174061433447, with ngrams (1, 6), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.4129692832764505, with ngrams (1, 6), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.41638225255972694, with ngrams (1, 6), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.46075085324232085, with ngrams (1, 6), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.34812286689419797, with ngrams (1, 7), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.3515358361774744, with ngrams (1, 7), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.3515358361774744, with ngrams (1, 7), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.4300341296928328, with ngrams (1, 7), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.4300341296928328, with ngrams (1, 7), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.43686006825938567, with ngrams (1, 7), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.41638225255972694, with ngrams (1, 7), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.3890784982935154, with ngrams (1, 7), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.3993174061433447, with ngrams (1, 7), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.4129692832764505, with ngrams (1, 7), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.41638225255972694, with ngrams (1, 7), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.4539249146757679, with ngrams (1, 7), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.34812286689419797, with ngrams (1, 8), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.3515358361774744, with ngrams (1, 8), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.3515358361774744, with ngrams (1, 8), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.4300341296928328, with ngrams (1, 8), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.43686006825938567, with ngrams (1, 8), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.4334470989761092, with ngrams (1, 8), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.4129692832764505, with ngrams (1, 8), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.3993174061433447, with ngrams (1, 8), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.3993174061433447, with ngrams (1, 8), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.40955631399317405, with ngrams (1, 8), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.4300341296928328, with ngrams (1, 8), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.4812286689419795, with ngrams (1, 8), analyzer char, max_depth 10, min samples leaf 20
